serialNo,stitle,deptName,postDate,content
序號,主旨,發布機關,張貼日,內文
1,交通安全大躍進  彰化縣獲交通部6座金安獎肯定,彰化縣警察局公共關係科,2018/07/23 10:32,"交通部為有效改善交通秩序、增進交通安全，依交通工程、交通安全教育、交通執法、交通安全宣導、公路監理、綜合管考及砂石安全管理等7項指標，每年辦理各縣市院頒道路交通秩序與交通安全改進方案考評。今年彰化縣在總成績獲評「卓越獎」第1名，並分別在交通工程、交通安全教育、公路監理、交通安全宣導、綜合管考等5項指標獲獎，共計獲頒6座金安獎，將由交通部辦理公開表揚。
彰化縣長魏明谷自就任以來，即以「交通事故零成長」為縣政目標，積極推動交通事故防制措施，對各項道安措施均大力支持，有效防制交通事故發生，在交通事故死亡人數統計，103年死亡151人，104年就任以來死亡138人，減少13人，105年死亡121人，再減少30人，106年死亡100人，更大幅減少51人，創下近10年來新低紀錄，3年來因交通事故死亡人數大幅減少94人，成效卓著。
為積極防制事故再發生，遇發生死亡車禍，彰化縣警察局均會立即邀集相關單位前往事故現場會勘，了解肇事原因，針對交通工程、執法及教育宣導提出改善對策，函請路權主管機關改善，以提升道路行車安全，並且針對易肇事路段(口)發起民間、團體捐贈太陽能LED警示燈，廣設多達1，780組，以提醒夜間駕駛人行經易肇事路段注意行車安全；另針對年長者採購並發送具反(閃)光效果之交通安全宣導品，增加年長者夜間或晨昏時外出的能見度，保護其用路安全。
此外為加強交通安全宣導，彰化縣警察局於無號誌路口設置「行人優先旗」設施，倡導行人優先路權觀念，推動「哈雷電動小警車」互動學習活動，使交通安全觀念從小扎根，建置「交通安全行動宣傳車」，以增加宣導深廣度。在強化交通執法方面，魏縣長也大力支持增購科技執法器材，如新型手持式測速器、固定及移動式照相機、多功能快速酒精檢知器等，以提升警方執法公信度及效率。
彰化縣今年在交通部院頒方案考評中雖獲得豐碩成果，但對於防制交通事故工作仍不鬆懈，也將持續精進，期望彰化縣民共同維護交通安全，一起減少交通事故傷亡憾事發生，保持交通事故零成長，共創幸福平安的大彰化。
"
2,彰警夏夜辦晚會  少年朋友嗨翻天,彰化縣警察局公共關係科,2018/07/23 10:31," 炎炎夏日，青少年朋友在沒有課業壓力下，如果沒有做好暑假生活規劃安排，往往容易流連網咖等不當場所；或是打工不慎被利用從事詐欺車手、甚至販毒等不法行為，為了強化暑期的犯罪預防觀念宣導，彰化縣警察局於7月21日17至21時在彰化市旭光西路第二停車場前盛大舉辦「彰翅逐夢 青春飛揚」晚會，精彩的節目吸引爆滿人潮，成功達到青春專案犯罪預防宣導的效果。
晚會前各宣導攤位的闖關遊戲，已讓現場湧入人潮，參與民眾只要集滿10個宣導、闖關攤位的印章，就有機會抽獎獲得精美又有益身心健康的高級自行車及品牌籃球，民眾在宣導攤位玩得樂不可支，其中刑警大隊透過遊戲「大家來找碴」，讓大家認識新興毒品，鹿港分局的「誰是神槍手」，都讓民眾直呼要命中紅心拿大獎真不容易，另外還有融合各種犯罪預防觀念設計的丟沙包、打彈珠、棒球九宮格、有獎徵答等遊戲，都吸引了大排長龍的大小朋友排隊闖關。
除了攤位熱鬧，晚會節目更是精彩、吸睛，鹿港馬興社區戰鼓隊、二社田社區媽媽們活力有氧舞蹈、彰化高中的青春熱舞、大慶商工祥獅獻瑞及武術表演輪番登場，都獲得民眾熱烈掌聲。縣長魏明谷由警察局長林順家陪同親臨現場，並和與會來賓共同參與晚會的開幕式，在刺破象徵「反毒品、反飆車、反詐騙、反色情及反幫派」5顆大氣球同時，也施放了空飄氣球，宣示縣府團隊將持續努力打造彰化縣成為「無毒家園」。晚會邀請3位知名偶像歌手田亞霍、吳汶芳、郭少軒登臺演出，特別的是彰化分局偵查隊業餘歌手楊晟瑜的表演，也讓民眾眼光一亮，原來警察不只會抓毒蟲、車手，還有一副好歌喉，可謂文武雙全，警界人才輩出。
縣長魏明谷致詞時指出，暑假期間父母們會擔心孩子遊玩、打工各種安全問題，因此彰化縣政府統合警察局、消防局、衛生局、教育處、社會處、建設處、勞工處、校外會等局處，共同執行青春專案，在暑假期間密集的稽查青少年易聚集場所及危害身心健康的不當場所，加強維護青少年朋友從事各種活動的安全。另外也規劃了一連串適合青少年休閒活動，透過活動將犯罪預防及各種安全觀念宣導給大眾及青少年朋友。
警察局局長林順家指出，青春專案不僅是查緝毒品、詐欺車手、性剝削、防制危險駕車、聯合稽查青少年易涉足場所這類干涉取締的工作，犯罪預防觀念的宣導也很重要，透過宣導提升青少年朋友對毒品、性剝削等等危害的認知，有助於青少年朋友遠離犯罪、避免被害，減少家庭、社會因犯罪而受到傷害。
"
3,嘉市警「暑期保護青少年青春專案暨安居2號」查緝不法犯罪保護青少年、緝獲毒品MDMA 、K他命！,嘉義市政府警察局公共關係科,2018/07/20 12:27,"嘉義市政府警察局第一分局竹園派出所員警於日前執行20-24時「暑期保護青少年青春專案暨安居2號」勤務之際，於轄區重要路段設置路檢點，於實施路檢時發現一部行駛中之牌號A**-7***自小客車行駛態樣有異形跡可疑，遂示警攔停要求車輛駕駛人下車接受檢查，經請車輛駕駛出示證件供查詢核對身分之際，覺察由駕駛男子身上散發出濃厚K他命氣味，且男子於接受警方查詢盤問過程中有神色慌張眼神飄忽異常情形顯有可疑，於經駕駛男子同意下警方對其停放車輛檢視，當場於男子車內起獲藏匿有第二級毒品MDMA咖啡包11小包及第三級毒品K他命7小包，案經警方據以帶案偵辦，詢問犯嫌坦承為施用兼意圖販賣毒品而持有之犯行不諱，警方全案調查後爰依法移送偵辦。
竹園派出所副所長梁榮哲、警員羅瑋、呂文智和鄭凱旭等4員，日前執行20-24時「暑期保護青少年青春專案暨安居2號」勤務中，在轄區重要路段設置路檢點實施路檢時，發現有一部行駛中牌號A**-7***之自小客車行駛態樣有異形跡可疑，遂示警將車輛攔停受檢，於靠近要求車輛駕駛人下車出示證件供查證核對身分之際，副所長等執勤員警覺察由駕駛男子身上散發出濃厚K他命毒品氣味，且查證辨識出駕駛男子姓名羅○○(77年次、有多項毒品前科)，副所長等執勤員警察覺異狀後，於經羅男同意請其將駕駛車輛車門開啟及其身上攜帶物品出示接受檢視過程中，羅男接受警方盤問時有言詞閃爍眼神飄忽不定情形顯有可疑，且不時的往車內方向觀望似乎想隱瞞其他事，羅男此舉慌張異常行為更加引起警方懷疑；經檢視果然起獲藏匿有第二級毒品MDMA咖啡包11小包(毛重113.5公克)及第三級毒品K他命1小包(毛重28.28公克)，此時羅嫌見所攜帶藏匿毒品遭警方查獲無法狡辯，而向警方吐實，坦承為警方查扣持有之毒品系自己施用而持有，惟沒想到會因為自己駕駛車輛態樣有異而遭警方路檢查獲，案經警方據以帶案偵辦，詢據羅嫌亦坦承為施用兼販賣毒品而持有之犯行不諱，警方除將犯嫌依違反毒品危害防制條例罪報請臺灣嘉義地方法院檢察署偵辦外，同時將持續向上追查毒品來源，以確實斷絕毒品根源，防堵毒品流入戕害國人身心。
嘉義市政府警察局第一分局竹園派出所所長呂坤林此呼籲民眾，千萬不要輕忽毒品的危害，更不要以毒品來紓壓，一旦沾染毒品，不但無法輕易擺脫，也會危害社會、家庭及個人健康並且斷送美好前程，終其一生都受毒癮的控制及身體的病痛所苦，故將查緝毒品、防制青少年接觸毒品列為首要之務；打擊犯罪是警察責無旁貸的使命，亦是警察工作的核心價值，同時將持續貫徹嘉義市政府警察局維護嘉義市治安之決心，也籲請民眾若發現不法，請立即撥打「110」報案專線，警民攜手合作打擊犯罪，共創一個治安放心、交通順心及服務貼心的嘉義市。
"
4,見婦人騎車跌倒  長竹暖警伸援手,嘉義市政府警察局公共關係科,2018/07/20 12:26,"嘉義市政府警察局第二分局長竹派出所警員楊嘉哲、葉子豪及實習生李柏儒於日前執行巡邏勤務時，見一名騎乘機車之婦人跌在路旁，被機車壓住，警方見狀立刻下車協助脫困。
警方在執行巡邏勤務的途中，行經轄內林森東路路段之巷子內時，一名婦人騎著重機車自對向駛來，突然間婦人一個重心不穩，不慎跌倒在路旁，被機車壓在身上，警方見狀立刻下車趕到婦人身旁將機車拉起，並幫忙將機車牽到安穩的路面停放好，事後警方向婦人詢問身體及手腳有無受傷須送醫，婦人連忙向警方表示沒有受傷，車輛也無大礙，只是因為行駛的路段為坡度較大的上坡，且騎乘機車時太靠路邊，不慎騎在水溝蓋與路面邊緣間致重心不穩才跌倒，警方了解事情經過後，向婦人叮嚀騎乘機車時不只要注意前後方來車，還要注意行駛之路面有無高低落差的顛坡，以免不慎跌倒受傷。婦人事後直呼幸好警方剛好路過出手援助，對於警方二話不說就趕來幫忙協助的行為，感到十分窩心並讚賞警方的為民服務之精神。
嘉義市政府警察局第二分局表示：警察為民服務的熱情，彰顯助人最樂精神！警察會盡其所能給予民眾關懷和協助，讓民眾能感受到警察的敬業與用心。警察適時為民伸出援手，除了讓民眾感受到嘉義市是一個「溫馨、安全、友善」的城市，也建立警察親民便民與愛民的良好形象。
"
5,迷途女童外出探險  南門警「抱緊」處理,嘉義市政府警察局公共關係科,2018/07/20 12:26,"嘉義市政府警察局第二分局南門派出所警員王嘉永、施雅文及實習生蔡玉山於日前擔服巡邏勤務，於13時許接獲勤務指揮中心通報，稱民眾在民國路附近遇有一名迷途女童，警方獲報後立即趕往現場。
警方到達現場了解後，係報案人蔡小姐與家人一齊從外地來嘉義市共進午餐，吃完正準備前往停車場方向的途中，遇到一名年約三歲女童緊黏著他們一行人不願離去，眼睛楚楚可憐的抓著蔡小姐的手不放，蔡小姐心疼女童在大熱天一個人在大馬路上亂跑，也怕女童遭遇不測，在不知如何是好的情況下，立即報警請求警方協助。王員得知上述情形後，先輕聲安撫女童，詢問知不知道自己的名字、媽媽爸爸在哪裡、家裡住哪、如何來到這裡等問題，女童皆不願意回答，王員深怕女童會誤以為自己是壞人，也跟女童表示自己是警察哥哥請她不用擔心，直到問了知不知道自己幾歲，才用手指比了「3」終於願意卸下心房與王員交流，王員環抱女童在大熱天汗水淋漓不斷地來回穿梭，詢問周邊店家及鄰居是否認識女童家人，幸好途中遇到認識女童的攤商，帶警方至女童家中，在門口呼喊了一段時間後，女童媽媽才睡眼惺忪地從家裡出來應門，這時才知道原來女童趁母親午休時沒有陪在身邊睡午覺而獨自外出，此次因為疏忽而讓女童自行外出導致迷路，女童母親表示對於兒童居家安全將會更加注意，也十分感謝員警的辛勞。
嘉義市政府警察局第二分局表示：警察熱心為民服務，讓迷失的孩童回到爸媽的懷抱，彰顯助人最樂精神，呼籲家長若要外出時，應注意家中大門是否關上，也可交代家中其他成人多加留意。
"
6,狡猾毒蟲車內夾層藏毒  警方執行「青春專案」當場搜出,嘉義市政府警察局公共關係科,2018/07/20 12:25," 嘉義市政府警察局第二分局執行暑期保護青少年-青春專案，循線掌握1名楊姓毒蟲於嘉義地區有販毒情事，經長期布線跟監追查，見時機成熟，於7月18日傍晚在嘉義市區興業東路上查獲楊嫌，並當場起獲毒品咖啡包38包(毛重403.78公克)、3級愷他命1包(毛重5.15公克)、夾鏈袋分裝袋2包、電子磅秤等贓證物。
楊嫌生性狡猾，為躲避警方查緝，經常變更藏匿住處，流連於網咖及汽車旅館，遂行販毒以牟取暴利；並大費心思在渠所有之自小客車內，設計夾層，以躲避警方盤檢。在警方持搜索票找上門時，仍有恃無恐，表示願意配合警方，渠未藏放持有毒品，甚至願意將全身衣物脫光供警方檢查，警方查緝時遍尋不著毒品，惟資深小隊長眼尖，在楊嫌車內排檔桿處察覺有異，伸手一撈，驚喜：「在這裡。」當場查獲大量毒品咖啡包及愷他命。一旁的楊嫌立即傻眼，大改原先嚣張態度，只得認罪，警方蒐證齊全，詢後依違反毒品危害防制條例移送嘉義地檢署偵辦。
嘉義市政府警察局第二分局分局長張桂霖表示：暑假期間青少年活動在外活動頻繁，為保護青少年各項活動安全，警方會加強執行「青春專案」、「安居專案」掃蕩毒品勤務，以避免青少年在暑假期間遭受毒品危害，並籲請民眾若發現不法，請立即撥打「110」報案專線或與就近派出所聯繫，警民攜手合作打擊犯罪。
"
7,「神探科學營」啟發學生柯南夢想,嘉義市政府警察局公共關係科,2018/07/20 12:25,"第六屆「中學神探科學營」已於7月19日在嘉義高中圓滿落幕，透過課程將刑事鑑識知識向下扎根，啟發了許多學生對於刑事鑑識的憧憬，希望未來進入警察大學鑑識系就讀，可以一圓柯南夢想，也能幫被害人及家屬伸張正義，是無比的成就。
　　本次「中學神探科學營」由「嘉義高中」、「李昌鈺博士物證科學教育基金會」及「嘉義市政府」主辦；「嘉義市政府警察局」協辦，第一梯次於7月16、17日舉行，對象為本市國中學生，第二梯次於7月18、19日舉行，對象為本市高中學生。課程以刑事鑑識所包含化學、物理、生物等範疇，邀請中央警察大學在此領域最權威的專家：孟憲輝、王勝盟、蔡麗琴等教授，以深入淺出的課程內容介紹，並設計指紋採證、血跡檢測、電解號碼重現等實驗，還有展示光源鑑識的應用，以紫外燈光照射出身分證正面上全彩螢光蝴蝶圖案，五百元、一千元鈔票上各種防偽特徵也一一浮現，讓學生們動手體驗採證的過程外，也能了解從事刑事鑑識的工作內容。
　　另外由擁有多年豐富鑑識經驗的本市警察局鑑識科科長呂政鴻及股長李文福，講解有關「現場處理與重建」，透過轄內一些重要的破案實錄，例如：張○○涉偽造貨幣案、○○宮廟遭竊盜案、吳○○命案、王○○議員服務處遭竊案…等，分析鑑識人員如何抽絲剝繭、重建現場，一步一步的拼出真實樣貌，成為破案關鍵。現場40名同學紛紛扮起神探柯南，從各類參考案件中，學習物證科學技巧，藉此激發創造力及思考力。
　　在兩天的課程研習中，激發學生對物證科學研習之興趣，激勵學生獨立研究潛能，提高學生對物證科學之思考力、創造力、正確觀念及態度，使學生能運用邏輯推理能力，找出案件中的蛛絲馬跡，學習「有一分證據，說一分話」的精神。
　　此外，並藉此機會宣導「犯罪現場保全」之作法及遭竊盜時的因應方式，教導學生們如何配合警方做好現場保全工作，比事後投入更多的警力、物力還要重要。並宣導「暑期保護青少年-青春專案」，認識新興毒品，勿吸食而造成終身遺憾。
本次舉辦的「中學神探科學營」受到學生們非常熱烈的迴響，但礙於場地關係，報名的學生無法全額錄取，嘉義市副市長張惠博表示：「科學本質中超道德的、節省的、創意的、可驗證的、統合的…等特徵是科學學習的核心，舉辦神探科學營讓學生們了解如何運用科學本質來客觀的觀察事物，可以啟發他們的未來。」警察局局長林水順表示：「鼓勵各位學子有志於從警，且嘉義市的鑑識專業能力極高、警政制度完善，有機會歡迎回家鄉服務，共同為嘉義市的治安努力。」
"
8,「校園青春盃籃球賽  熱力開打」,嘉義市政府警察局公共關係科,2018/07/20 12:24,"根據法務部統計資料，近10年毒品緝獲量與毒品施用人數都呈正向增加，且第三、四級毒品以18 歲以下之青少年族群居為主，為避免毒品進入校園，宣導教育應更為積極，深入校園向下紮根，從小建立反毒品及遵守相關法令的觀念，讓青春學子可以遠離妨害身心健康場所，遠離毒品，遠離幫派，遠離飆車。藉此嘉義市政府警察局第二分局結合天主教嘉義市立仁高級中學於今(19)日下午在立仁高級中學共同舉辦「107年校園青春盃籃球賽」暨犯罪預防宣導活動，讓年輕學子們對於遠離、防範犯罪有更深入的認識，現場活動氣氛熱烈，吸引近300名青少年朋友參加。
嘉義市政府警察局第二分局分局長張桂霖蒞臨致詞，向青少年們犯罪預防宣導，並介紹各種常見之犯罪類型，如飆車、流連網咖、加入幫派或吸毒等脫序違法行為，同時宣導如何有效防制，以強化青少年法治觀念及守法意願，也提醒少年朋友要多多從事正當及有益身心健康的休閒活動，暑假期間如果有要打工，也切記不要把存摺、印章、提款卡及密碼交給任何人，以免成為詐騙集團的幫手，對於高時薪的工作也要小心是否為色情產業，以免成為性剝削案件的被害人，保護自己最重要，才能開心「FUN暑假」。
天主教嘉義市立仁高級中學柳雅梅校長表示：「警方深入校園宣導活動，透過相關宣導，能讓年輕學子有防制被害警覺；青少年有渴望求勝的精神，透過正當的籃球競賽活動，了解自我要求及團體紀律的重要性，進而培養青少年守法、團體合作互助精神，並強化法紀觀念正確的法紀觀念」。
此次校園青春盃籃球賽參賽隊伍計有立仁中學、輔仁中學、嘉義市政府警察局及嘉義市校外生活輔導會等4隊，其中立仁中學為106年學年度HBL全國高中籃球乙級聯賽全國第四名，所有參與比賽之隊伍除有參賽獎品外，嘉義市警友會第二辦事處為鼓勵各隊之良性競爭，增加球賽可看性，更提供第一名5000元、第二名3000元、第三名2000元、第四名1000元等獎金，賽中以嘉義市政府警察局隊與嘉義市校外會隊比賽最為激烈，四節結束後以34：34平手，再延長賽程5分鐘，最後由校外會隊以44得分獲得晉級，比賽結果第一名嘉義市校外會、第二名立仁中學、第三名嘉義市政府警察局、第四名輔仁中學。
嘉義市政府警察局第二分局分局長張桂霖也呼籲青少年：「無毒人生，精彩萬分，青春不搖頭！」，更請所有家長，在忙碌之餘，應多注意並關懷自己孩子的平日生活情形及休閒娛樂，利用此一機會對青少年進行高關懷輔導，引導少年參與學習，以培養正確人生觀，進而增進親子感情及發揮家庭功能，讓子女於暑假期間平安健康、快樂一夏。
"
9,強力檢肅非法槍械，攔截跨國運輸具有殺傷力之非法空氣槍504把,刑事警察局公共關係室,2018/07/20 10:50,"(一)非法槍械為衍生及助長一切暴力犯罪之主要亂源，財政部關務署及警政署等執法機關依據賴院長指示「攔截於海上、阻絕於岸際、查緝於內陸」之原則，及「對外杜絕來源、對內全面查緝」兩大任務方向，結合政府相關部門力量，並強化邊境查驗及向上溯源查緝，以展現全力打擊非法槍械之決心。
(二)財政部關務署基隆關為落實政府查緝非法槍械策略，結合相關執法機關，相互合作查緝走私，嚴防非法槍械跨國運輸，於今(107)年4月29日查驗可疑進口貨櫃時，與警政署等單位共同執行查緝偵破109支非法槍枝走私案，緝獲廖姓主嫌等10名共犯，經臺灣基隆地方檢察署依違反槍砲彈藥刀械管制條例案，於107年7月2日以107年度偵緝字第2534等案號起訴在案，並對廖姓主嫌等具體求處無期徒刑。關務署基隆關復於107年3月5日查驗一批原出口德國，後因「國貨退運」進口之名義申報之空氣槍共504把，發現貨物品名與原出口報單不符，經取樣其中1把空氣槍送法務部調查局鑑定，該局於4月18日出具鑑定書認具殺傷力(單位面積動能超過20焦耳/平方公分)。後經財政部關務署基隆關洽請警政署審認，認定該槍枝單位面積動能既已超過20焦耳/平方公分，於國內即屬管制物品。因本案顯已涉嫌違反槍砲彈藥刀械管制條例，於5月24日由財政部關務署基隆關移由警政署持續偵辦，隨即送請刑事警察局鑑識科進行鑑驗，並報請臺灣基隆地方檢察署指揮偵辦。
(三)本案所查扣空氣槍504把，經刑事警察局鑑識科至目前為止初步鑑驗其中84把，計有82把彈頭單位面積動能超過20焦耳/平方公分，具殺傷力比例極高。經查該批空氣槍所使用之氣體鋼瓶及彈丸，皆係市面一般販售流通之常見商品，無需更動或調整槍任何零件、結構，即可擊發並具殺傷力，一旦落入不法歹徒或黑幫分子手中，恐危害民眾人身安全，且時屆年底縣市長、議員選舉，恐造成選舉危安。
(四)近期發生多起槍擊案件，警政署陳署長立即要求各縣市警察局加強檢肅非法槍械及掃蕩黑幫，以壓制黑幫氣燄、維護社會治安；本案財政部關務署基隆關與警政署刑事警察局等單位即時於邊境攔阻具有殺傷力空氣槍504把，防止可能對治安造成的衝擊。未來警政署仍將持續強化跨部會合作，強力檢肅非法槍械，並擴大清查槍械來源管道以斷根溯源，全力維護社會治安、以落實對民眾安居樂業的承諾。
"
